"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000142611",8.50867038451451,-0.0682422561385011,0.614571246699541,-0.111040431040315,0.911584285624448,0.997309060942922,"PRDM16"
"ENSG00000149527",385.35113813812,0.133071244018094,0.162829006181218,0.817245324644399,0.413788245379807,0.991938873985395,"PLCH2"
"ENSG00000224387",2.06499718960765,0.0839646384543025,1.22122668200283,0.0687543432285638,0.945185160864598,NA,NA
"ENSG00000229393",3.12485409683583,-0.224857513735111,1.07955779173463,-0.208286685026662,0.835005127476012,NA,NA
"ENSG00000048707",541.24370775852,0.0274373312266021,0.112177825587662,0.244587832602987,0.806775586136194,0.997009201673621,"VPS13D"
"ENSG00000189337",51.4207727376677,-0.0132934509916386,0.269872374129513,-0.0492582874942919,0.960713460896955,0.997481442054399,"KAZN"
"ENSG00000175147",8.11246982158286,-0.301253784263443,0.627090416051254,-0.480399279836579,0.630943506305156,0.997009201673621,"TMEM51-AS1"
"ENSG00000130940",58.2093032734466,-0.224528155651711,0.28155008492508,-0.797471454187121,0.425177275052996,0.991938873985395,"CASZ1"
"ENSG00000272078",1.96845232292018,-0.616004094174485,1.29449753536156,-0.475863473932711,0.634171645771536,NA,NA
"ENSG00000117000",140.486127210558,-0.157070374828805,0.193167837533716,-0.813129022068126,0.416144088495237,0.991938873985395,"RLF"
"ENSG00000163877",38.7589825405318,-0.209219615015255,0.302585871262188,-0.69143881088211,0.48928982127344,0.995822396032252,"SNIP1"
"ENSG00000228929",142.690706082117,0.225284841904826,0.192917810887594,1.16777627150295,0.242897021834976,0.96160596770545,"RPS13P2"
"ENSG00000116675",25.3001214798388,-0.0375942807000063,0.366615561723015,-0.102544148762593,0.918324771872925,0.997309060942922,"DNAJC6"
"ENSG00000213625",277.510192760376,-0.279358733736196,0.16830818201388,-1.65980483178862,0.0969537214172357,0.808936597363099,"LEPROT"
"ENSG00000226084",65.1836882620887,-0.75230124119864,0.296968013717081,-2.53327364042429,0.0113002699002982,0.339751851503445,"RPL17P6"
"ENSG00000172260",1.93368884612658,0.435671541180526,1.27575165007082,0.341501844153084,0.732725816793614,NA,"NEGR1"
"ENSG00000182183",1.47100166441881,1.63560127247905,1.60312488808307,1.02025817491663,0.307606033823509,NA,"SHISAL2A"
"ENSG00000067334",308.430809615049,0.143906433079258,0.14038485609981,1.02508516286788,0.305323005711135,0.979065736975974,"DNTTIP2"
"ENSG00000232882",7.66346385862906,-0.53086448659284,0.65152198767346,-0.81480670896238,0.41518296006748,0.991938873985395,NA
"ENSG00000116157",3.47946182484778,0.0527447335600122,0.949664995841839,0.0555403576955641,0.955707978760647,0.997309060942922,"GPX7"
"ENSG00000228502",6.90306302052938,0.101494088609951,0.683239942491142,0.148548236568103,0.881910120912373,0.997009201673621,NA
"ENSG00000183298",10.4163339186137,0.202846019201771,0.572230797004913,0.354482876950137,0.722977034234947,0.997009201673621,"RPSAP19"
"ENSG00000203914",3.24023547774037,-0.159588506080353,1.02527586020855,-0.155654211977536,0.876305590695947,0.997009201673621,"HSP90B3P"
"ENSG00000198162",272.458357659273,-0.368114501399666,0.139210653105192,-2.64429835783837,0.00818604644735391,0.284124028776909,"MAN1A2"
"ENSG00000232450",1.85493881094879,2.25593817043997,1.51629739959509,1.48779399809193,0.136805228999321,NA,"RPS2P14"
"ENSG00000173947",2.31909531529943,-0.710246871993765,1.23564233218125,-0.5747997243992,0.565426753167526,NA,"CIMAP3"
"ENSG00000134253",14.7797285463232,-0.0546387381243543,0.480435366870736,-0.113727551908257,0.909453770952332,0.997309060942922,"TRIM45"
"ENSG00000155761",6.22627623222444,-0.765754166975563,0.758453530460398,-1.00962568729917,0.312674657978485,0.979065736975974,"SPAG17"
"ENSG00000163155",30.3919257506198,0.201499223377158,0.343514587377088,0.586581271309929,0.557484964100401,0.996915619080543,"LYSMD1"
"ENSG00000232499",19.8767957419033,0.0917733403903015,0.420043766905393,0.218485185642504,0.827051099664646,0.997009201673621,"LOC100421402"
"ENSG00000232952",44.9059281433097,-0.151916021714926,0.315833304125251,-0.481000640941526,0.630516043190097,0.997009201673621,"LOC401957"
"ENSG00000225475",4.87954465943154,-0.209841646011991,0.80983545440418,-0.25911639811618,0.795545432908946,0.997009201673621,NA
"ENSG00000047410",691.993703876279,-0.0438736587750542,0.109369252190709,-0.401151675596638,0.688308456852711,0.997009201673621,"TPR"
"ENSG00000234975",40.5351395168044,0.0998586731060491,0.299519850435337,0.333395843250153,0.73883550046675,0.997009201673621,"FTH1P2"
"ENSG00000179397",2.71408203568741,0.133356826847275,1.10824091050503,0.120331983401067,0.904220169090362,NA,"CATSPERE"
"ENSG00000186197",31.3758618199177,-0.566754149939543,0.328233359989741,-1.72668052375072,0.0842250553659202,0.780501418889352,"EDARADD"
"ENSG00000116574",4.94310494980646,-0.145027158407362,0.813565252151204,-0.178261249511192,0.858517809758791,0.997009201673621,"RHOU"
"ENSG00000225920",2.55209223293123,-1.45577203005788,1.15150347606229,-1.26423589708654,0.206145370003019,NA,NA
"ENSG00000220749",1.90868105586028,1.32682737453145,1.45313314485739,0.913080387180673,0.36120026458413,NA,"RPL21P28"
"ENSG00000181450",13.1858839110449,-0.36643618936447,0.521649956534477,-0.702456091051645,0.48239477559258,0.995822396032252,"ZNF678"
"ENSG00000162849",22.0118256873929,0.192201248678203,0.391203150991285,0.491308028044194,0.623208602651138,0.997009201673621,"KIF26B"
"ENSG00000152104",610.261120070437,0.0231186128660768,0.113179750409801,0.204264568373485,0.83814675655264,0.997009201673621,"PTPN14"
"ENSG00000092969",101.450174576135,0.271104184736207,0.198952231396686,1.36265968384973,0.172989789417071,0.913048232551301,"TGFB2"
"ENSG00000116183",2.02918628511749,-0.443588204560796,1.37710772681603,-0.322115834457196,0.747364942916467,NA,"PAPPA2"
"ENSG00000285665",1.93368884612658,0.435671541180526,1.27575165007082,0.341501844153084,0.732725816793614,NA,NA
"ENSG00000224040",1.52620917628577,-0.7614929879564,1.50873234471448,-0.504723711017483,0.613752904878456,NA,NA
"ENSG00000116903",65.3535161765171,0.23365474150821,0.238407777015944,0.980063420886575,0.327054813874837,0.982903820392497,"EXOC8"
"ENSG00000035687",87.2927175717439,-0.229853057615716,0.280267204078025,-0.820121135370965,0.412147054631333,0.991938873985395,"ADSS2"
"ENSG00000180287",13.1916780924162,0.492436573039812,0.498559876144475,0.98771801864198,0.323290767372338,0.982250952667918,"PLD5"
"ENSG00000286619",16.5621111215888,0.22330454837043,0.449323210644896,0.496979775538258,0.619203313374809,0.997009201673621,NA
"ENSG00000183780",7.4250603709447,-0.141696666774683,0.667719758816755,-0.212209785473144,0.831943372890433,0.997009201673621,"SLC35F3"
"ENSG00000185420",28.9699023167191,0.226098535637637,0.339260542541547,0.666445127817798,0.50512662583226,0.995822396032252,"SMYD3"
"ENSG00000143341",10.407190487535,-0.171423082838119,0.568768942997327,-0.301393184259931,0.763114691009786,0.997009201673621,"HMCN1"
"ENSG00000207181",3.42725635347612,0.268096615799252,0.961618271509841,0.278797339591221,0.780400356240249,0.997009201673621,"SNORA14B"
"ENSG00000213085",3.13314109280497,0.934803718411434,1.12250201557744,0.832785781618884,0.404965555017987,NA,"CFAP45"
"ENSG00000162723",30.3293348094617,0.687778229230437,0.345116791674321,1.99288544000919,0.0462739930204607,0.650089913657573,"SLAMF9"
"ENSG00000224950",3.81114933182241,-0.472096461409924,0.932642220509389,-0.5061924616195,0.612721546496586,0.997009201673621,NA
"ENSG00000243364",34.3327137168968,0.296791931939892,0.32360984297487,0.917128877204578,0.359075110584027,0.991907509191995,"EFNA4"
"ENSG00000284642",3.94799405518912,0.469731647743924,0.899727293850863,0.522082247536869,0.601613066214306,0.997009201673621,NA
"ENSG00000236035",2.7191366778986,-0.557324099204672,1.18470712548831,-0.470431963490518,0.638046432303925,NA,NA
"ENSG00000158156",28.0731523300431,0.144149718581548,0.368878813788715,0.390777982343312,0.695961351031321,0.997009201673621,"XKR8"
"ENSG00000228818",2.32587644955445,-0.409348235991499,1.2293369126225,-0.332982953483641,0.739147150759189,NA,"PSMD2P1"
"ENSG00000244716",109.145724070707,0.608382588483228,0.234658136911799,2.59263367761204,0.00952441589162551,0.310058053888066,"RPL17P7"
"ENSG00000254726",105.442713526402,0.331921015346216,0.197465569785364,1.68090576857018,0.0927812193236893,0.803664282744713,"MEX3A"
"ENSG00000237424",3.56965410630595,1.38105599569708,1.02395238106536,1.34875021654832,0.17741721000884,0.916081111492394,"FOXD2-AS1"
"ENSG00000168275",15.2297372655839,-0.430089574129995,0.478429367593413,-0.898961483684466,0.368673176700791,0.991938873985395,"COA6"
"ENSG00000116678",47.1383106325414,-0.223463351947379,0.278695754674304,-0.801818284632746,0.422658080191098,0.991938873985395,"LEPR"
"ENSG00000244038",946.997263999823,-0.00155248226234152,0.102963223770757,-0.015078026944825,0.987969930928226,0.999334628570117,"DDOST"
"ENSG00000162521",201.508763411367,0.0645720778325438,0.152334910794015,0.42388233593977,0.671651627035441,0.997009201673621,"RBBP4"
"ENSG00000260920",4.85487799091384,-0.41095990454715,0.855172360018274,-0.480557983116255,0.630830683884713,0.997009201673621,NA
"ENSG00000127423",18.6012859535614,0.325205158658485,0.441536731802498,0.736530248187711,0.461408066338593,0.995822396032252,"AUNIP"
"ENSG00000126106",26.6979312210642,0.12288539919145,0.380942933391569,0.32258217286613,0.747011696538112,0.997009201673621,"TMEM53"
"ENSG00000237991",11.3945293565958,0.765792337180102,0.539737709040169,1.4188231141788,0.155950592148309,0.903498691369456,"RPL35P1"
"ENSG00000159363",219.472971728378,0.262069994371581,0.164474324391836,1.59337936386495,0.111075112254632,0.840235638277665,"ATP13A2"
"ENSG00000142623",107.182679925689,0.381683689119449,0.199315003427377,1.91497720972381,0.0554954101173678,0.693568883074057,"PADI1"
"ENSG00000142619",109.32143949316,-0.637975513285832,0.202483427174533,-3.15075422313907,0.00162849464037828,0.0945127565672002,"PADI3"
"ENSG00000276997",2.35860058099014,1.81606812719846,1.29055863198592,1.40719536655524,0.159369465211926,NA,NA
"ENSG00000225099",2.01003180468191,0.502960524049855,1.29573993577329,0.388164715900103,0.697894142644868,NA,NA
"ENSG00000137970",106.166438123457,-0.597445241211278,0.219894859964934,-2.71695864699407,0.00658848390503906,0.250805162847468,"RPL7P9"
"ENSG00000282386",4.91747394817639,0.225068698530784,0.804836581208997,0.279645214675374,0.779749714168872,0.997009201673621,NA
"ENSG00000223254",1.95852029199047,1.20940544743971,1.43719054819816,0.841506680485738,0.400064144096435,NA,NA
"ENSG00000173110",6.70024254178496,0.207231806517662,0.707204165870786,0.293029674482327,0.769499469791175,0.997009201673621,"HSPA6"
"ENSG00000023572",12.7605701094884,-0.46694155645591,0.531594382560216,-0.878379403121359,0.379737858094695,0.991938873985395,"GLRX2"
"ENSG00000116396",41.6696784777874,0.633138179589791,0.291211806741253,2.17415010289176,0.029693864252269,0.543977764135034,"KCNC4"
"ENSG00000272455",3.04638436564548,-0.0657319798858756,1.06676751558192,-0.0616179054252688,0.950867117569418,NA,NA
"ENSG00000215915",2.87168939243071,0.603273344224308,1.12253945645753,0.53741838717019,0.590978645164744,NA,"ATAD3C"
"ENSG00000228594",7.82650693209248,-0.195517399901995,0.676057163641498,-0.289202467508613,0.772426443697489,0.997009201673621,"FNDC10"
"ENSG00000272106",7.18995602497331,0.596672261532521,0.683745372214633,0.872652723922526,0.382852393382633,0.991938873985395,NA
"ENSG00000268575",3.55593368414594,1.17128752864867,1.02286925106156,1.14509995039256,0.252167756049609,0.963093964655272,NA
"ENSG00000198890",28.5632131722658,0.134676884954432,0.385432989175351,0.349417119802274,0.726776182582913,0.997009201673621,"PRMT6"
"ENSG00000224550",3.16884561999767,-0.375185939000043,1.00563864329121,-0.373082261210798,0.709087220620155,NA,NA
"ENSG00000236773",3.67801386398921,-0.0457357775693838,0.955942610227668,-0.0478436436246851,0.961840853779178,0.997555905256111,NA
